,text,canonical_form_1,canonical_form_2,canonical_form_3,category_1,category_2,category_3,severity_rating,severity_description
812,jerkoffs,jerk off,,,sexual anatomy / sexual acts,,,1.2,Mild
813,jerks off,jerk off,,,sexual anatomy / sexual acts,,,1.4,Mild
830,jizz,jizz,,,bodily fluids / excrement,,,1.6,Strong
831,jizz eater,jizz,,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.4,Strong
832,jizz licker,jizz,,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.4,Strong
833,jizz-jockey,jizz,,,bodily fluids / excrement,,,2.2,Strong
834,jizzbags,jizz,,,bodily fluids / excrement,,,2.4,Strong
835,jizzed,jizz,,,bodily fluids / excrement,,,2.0,Strong
836,jizzes,jizz,,,bodily fluids / excrement,,,2.2,Strong
837,jizzfucker,fuck,jizz,,bodily fluids / excrement,sexual anatomy / sexual acts,,2.6,Severe
838,jizzing,jizz,,,bodily fluids / excrement,,,1.6,Strong
839,jizzsacks,jizz,,,sexual anatomy / sexual acts,,,1.8,Strong
840,jizzstain,jizz,,,bodily fluids / excrement,,,2.8,Severe
841,jizzy,jizz,,,bodily fluids / excrement,,,1.6,Strong
847,kid diddler,diddle,,,sexual anatomy / sexual acts,other / general insult,,3.0,Severe
848,kiddy touch,kidtoucher,,,sexual anatomy / sexual acts,,,1.8,Strong
851,kiss ass,ass,,,sexual anatomy / sexual acts,,,1.0,Mild
852,kiss my ass,ass,,,sexual anatomy / sexual acts,,,1.6,Strong
853,kitty puncher,kitty puncher,,,sexual anatomy / sexual acts,,,2.2,Strong
856,klitoris,clit,,,sexual anatomy / sexual acts,,,1.0,Mild
859,knob,knob,,,sexual anatomy / sexual acts,,,1.4,Mild
860,knob eater,knob,,,sexual anatomy / sexual acts,,,2.2,Strong
861,knob gobbler,knob,,,sexual anatomy / sexual acts,,,1.8,Strong
862,knob jockey,knob,,,sexual anatomy / sexual acts,,,1.8,Strong
863,knob-face,knob,,,sexual anatomy / sexual acts,,,1.6,Strong
864,knob-gobbler,knob,,,sexual anatomy / sexual acts,,,1.6,Strong
865,knob-head,knob,,,sexual anatomy / sexual acts,,,2.0,Strong
866,knob3d,knob,,,sexual anatomy / sexual acts,,,1.6,Strong
867,knob3nd,knob,,,sexual anatomy / sexual acts,,,1.2,Mild
868,knobd,knob,,,sexual anatomy / sexual acts,,,1.2,Mild
869,knobe,knob,,,sexual anatomy / sexual acts,,,1.0,Mild
870,knobead,knob,,,sexual anatomy / sexual acts,,,1.4,Mild
871,knobeads,knob,,,sexual anatomy / sexual acts,,,1.4,Mild
872,knobed,knob,,,sexual anatomy / sexual acts,other / general insult,,1.4,Mild
873,knobeds,knob,,,sexual anatomy / sexual acts,,,1.8,Strong
874,knobend,knob,,,sexual anatomy / sexual acts,,,1.2,Mild
875,knobender,knob,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong
876,knobends,knob,,,sexual anatomy / sexual acts,,,1.4,Mild
877,knobendy,knob,,,sexual anatomy / sexual acts,,,1.6,Strong
878,knobendz,knob,,,sexual anatomy / sexual acts,,,1.4,Mild
879,knober,knob,,,sexual anatomy / sexual acts,,,1.0,Mild
880,knobes,knob,,,sexual anatomy / sexual acts,,,1.2,Mild
881,knobgobbler,knob,,,sexual anatomy / sexual acts,sexual orientation / gender,,1.8,Strong
882,knobhead,knob,,,sexual anatomy / sexual acts,,,1.6,Strong
883,knobheads,knob,,,sexual anatomy / sexual acts,,,1.6,Strong
884,knobjockies,knob,,,sexual anatomy / sexual acts,sexual orientation / gender,,1.8,Strong
885,knobjocky,knob,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong
886,knobjokey,knob,,,sexual orientation / gender,,,2.6,Severe
887,knobjokeys,knob,,,sexual anatomy / sexual acts,,,1.8,Strong
890,l@dyb0i,ladyboy,,,sexual orientation / gender,,,2.2,Strong
891,l@dyb0y,ladyboy,,,sexual orientation / gender,,,2.0,Strong
892,l@dyboy,ladyboy,,,sexual orientation / gender,,,2.0,Strong
893,l3i + ch,bitch,,,sexual orientation / gender,,,1.2,Mild
894,l3i+ch,bitch,,,sexual orientation / gender,,,1.2,Mild
895,l3itch,bitch,,,sexual orientation / gender,,,1.4,Mild
896,l3itches,bitch,,,sexual orientation / gender,,,1.2,Mild
897,ladboys,ladyboy,,,sexual orientation / gender,,,1.4,Mild
898,ladboyz,ladyboy,,,sexual orientation / gender,,,1.4,Mild
899,ladiboy,ladyboy,,,sexual orientation / gender,,,2.2,Strong
900,lady-boy,ladyboy,,,sexual orientation / gender,,,2.6,Severe
901,ladyb0i,ladyboy,,,sexual orientation / gender,,,2.2,Strong
902,ladyb0y,ladyboy,,,sexual orientation / gender,,,2.4,Strong
903,ladyboy,ladyboy,,,sexual orientation / gender,,,2.2,Strong
904,ladyboys,ladyboy,,,sexual orientation / gender,,,2.4,Strong
905,ladyboyz,ladyboy,,,sexual orientation / gender,,,1.4,Mild
906,lesbo,lesbian,,,sexual orientation / gender,,,2.2,Strong
907,loose woman,loose,,,sexual orientation / gender,,,1.4,Mild
908,m@asterbated,masturbate,,,sexual anatomy / sexual acts,,,1.4,Mild
909,m@derfaker,motherfucker,,,sexual anatomy / sexual acts,,,2.8,Severe
910,m@derfuck,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3.0,Severe
911,m@derfuckers,motherfucker,,,sexual anatomy / sexual acts,,,2.6,Severe
912,m0f0,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong
914,m0fo,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
916,m0fos,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
919,m0thafucked,motherfucker,,,sexual anatomy / sexual acts,,,3.0,Severe
920,m0thafucker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3.0,Severe
921,m0thafucking,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
922,m0therfuckeds,motherfucker,,,sexual anatomy / sexual acts,,,2.8,Severe
923,m0therfucker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong
924,m0therfucking,motherfucker,,,sexual anatomy / sexual acts,,,3.0,Severe
925,m0therfvcker,motherfucker,,,sexual anatomy / sexual acts,,,3.0,Severe
926,man chowder,man chowder,,,bodily fluids / excrement,,,1.0,Mild
927,man meat,meat,,,sexual anatomy / sexual acts,,,1.2,Mild
928,man seed,man seed,,,bodily fluids / excrement,,,1.0,Mild
929,markasses,ass,,,sexual anatomy / sexual acts,,,2.0,Strong
930,meat curtains,meat curtains,,,sexual anatomy / sexual acts,,,2.0,Strong
931,meat-sword,meat,,,sexual anatomy / sexual acts,,,1.2,Mild
932,mecha fag,faggot,,,sexual orientation / gender,,,3.0,Severe
933,mega fag,faggot,,,sexual orientation / gender,,,2.8,Severe
934,mf'er,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
935,mf'ers,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
936,mf'ing,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
937,mfckers,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
938,MFer,motherfucker,,,sexual anatomy / sexual acts,,,1.8,Strong
939,MFers,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
940,mfing,motherfucker,,,sexual anatomy / sexual acts,,,1.8,Strong
941,mfk,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,1.6,Strong
942,mfs,motherfucker,,,sexual anatomy / sexual acts,,,2.2,Strong
943,mfukk,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3.0,Severe
944,mfukker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
945,milf,milf,,,sexual anatomy / sexual acts,,,1.8,Strong
946,mindfuck,motherfucker,,,sexual anatomy / sexual acts,,,2.2,Strong
947,mof0es,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
949,mofcker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
950,mofo,motherfucker,,,sexual anatomy / sexual acts,,,2.0,Strong
951,mofo ass,motherfucker,ass,,sexual anatomy / sexual acts,,,2.4,Strong
953,mofos,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong
954,mofoshit,motherfucker,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.2,Strong
955,mofuccers,motherfucker,,,sexual anatomy / sexual acts,,,2.4,Strong
956,mofucckers,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong
957,mofuck,motherfucker,,,sexual anatomy / sexual acts,,,2.8,Severe
959,mofuckkas,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong
961,mofukkas,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong
962,molester,molest,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
966,motha fucka,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
967,motha fucker,motherfucker,,,sexual anatomy / sexual acts,,,2.4,Strong
968,motha fuckers,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3.0,Severe
969,mothaf@cked,motherfucker,,,sexual anatomy / sexual acts,,,2.6,Severe
970,mothafcked,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
971,mothafcking,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
972,Mothafucc,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
973,mothafucced,motherfucker,,,sexual anatomy / sexual acts,,,2.6,Severe
974,mothafuccer,motherfucker,,,sexual anatomy / sexual acts,,,3.0,Severe
975,mothafuccing,motherfucker,,,sexual anatomy / sexual acts,,,3.0,Severe
976,mothafuck,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
977,mothafucka,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
978,mothafuckas,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
979,mothafuckasses,motherfucker,ass,,sexual anatomy / sexual acts,other / general insult,,3.0,Severe
980,mothafuckaz,motherfucker,,,sexual anatomy / sexual acts,,,2.6,Severe
981,mothafuckazzes,motherfucker,,,sexual anatomy / sexual acts,,,3.0,Severe
982,mothafucked,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
983,mothafuckeds,motherfucker,,,sexual anatomy / sexual acts,,,2.8,Severe
984,mothafucker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3.0,Severe
985,mothafuckers,motherfucker,,,sexual anatomy / sexual acts,,,2.6,Severe
986,mothafuckin,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
987,mothafucking,motherfucker,,,sexual anatomy / sexual acts,,,3.0,Severe
988,mothafuckings,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
989,mothafuckins,motherfucker,,,sexual anatomy / sexual acts,,,2.6,Severe
990,mothafucks,motherfucker,,,sexual anatomy / sexual acts,,,2.8,Severe
991,mothafuckz,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
992,mothafvcked,motherfucker,,,sexual anatomy / sexual acts,,,2.8,Severe
993,mother effer,motherfucker,,,sexual anatomy / sexual acts,,,2.2,Strong
994,mother fuck,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
995,mother fuck you,motherfucker,,,sexual anatomy / sexual acts,,,2.6,Severe
996,mother fucka,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
997,mother fucker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3.0,Severe
998,mother fuckers,motherfucker,,,sexual anatomy / sexual acts,,,3.0,Severe
999,mother fucking,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3.0,Severe
1000,mothercker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
1001,motherf@kka,motherfucker,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
1002,motherfacking,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong
1003,motherfcked,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
1004,motherfckin,motherfucker,,,sexual anatomy / sexual acts,,,3.0,Severe
1005,motherfcking,motherfucker,,,sexual anatomy / sexual acts,,,3.0,Severe
1006,motherfcks,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
1007,motherfckshit,motherfucker,shit,,sexual anatomy / sexual acts,other / general insult,bodily fluids / excrement,2.8,Severe
1008,motherfecka,motherfucker,,,sexual anatomy / sexual acts,,,2.4,Strong
1009,motherfecker,motherfucker,,,sexual anatomy / sexual acts,,,2.8,Severe
1010,motherfk,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
1011,motherfucca,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
1012,motherfuccas,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3.0,Severe
1013,motherfuccers,motherfucker,,,sexual anatomy / sexual acts,,,3.0,Severe
1014,motherfuck,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong
1015,motherfucked,motherfucker,,,sexual anatomy / sexual acts,,,3.0,Severe
1016,motherfuckeds,motherfucker,,,sexual anatomy / sexual acts,,,3.0,Severe
1017,motherfucker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3.0,Severe
1018,motherfuckers,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
1019,motherfuckin,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
1020,motherfucking,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
1021,motherfuckings,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
1022,motherfuckingshit,motherfucker,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,other / general insult,2.8,Severe
1023,motherfuckins,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
1024,motherfuckka,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3.0,Severe
1025,motherfuckkas,motherfucker,,,sexual anatomy / sexual acts,,,3.0,Severe
1026,motherfuckkers,motherfucker,,,sexual anatomy / sexual acts,,,3.0,Severe
1027,motherfucks,motherfucker,,,sexual anatomy / sexual acts,sexual orientation / gender,,3.0,Severe
1028,motherfukka,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3.0,Severe
1029,motherfukker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3.0,Severe
1030,motherfukkings,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
1031,motherfvck,motherfucker,,,sexual anatomy / sexual acts,,,2.6,Severe
1032,motherfvcked,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
1033,motherfvckeds,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
1034,motherfvcker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3.0,Severe
1035,motherfvckers,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
1036,motherfvcking,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
1038,motherfxcking,motherfucker,,,sexual anatomy / sexual acts,,,2.6,Severe
1039,mothfck,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
1040,mothter fuck,motherfucker,,,sexual anatomy / sexual acts,,,3.0,Severe
1041,mtherfuker,motherfucker,,,sexual anatomy / sexual acts,,,3.0,Severe
1042,mthrfcker,motherfucker,,,sexual anatomy / sexual acts,,,2.6,Severe
1043,muddafukkas,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3.0,Severe
1044,mudderfuk,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
1045,mudderfukker,motherfucker,,,sexual anatomy / sexual acts,,,2.6,Severe
1046,mufdive,muff,,,sexual anatomy / sexual acts,,,1.8,Strong
1047,mufdivin,muff,,,sexual anatomy / sexual acts,,,2.8,Severe
1048,muff,muff,,,sexual anatomy / sexual acts,,,1.4,Mild
1049,muffdiving,muff,,,sexual anatomy / sexual acts,,,2.0,Strong
1050,muffdivings,muff,,,sexual anatomy / sexual acts,,,2.2,Strong
1051,muffindivin,muff,,,sexual anatomy / sexual acts,,,1.8,Strong
1052,muffindiving,muff,,,sexual anatomy / sexual acts,,,1.8,Strong
1053,muhfucking,motherfucker,,,sexual anatomy / sexual acts,,,2.4,Strong
1054,mushroom tip,mushroom tip,,,sexual anatomy / sexual acts,,,1.4,Mild
1055,mutha fucka,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
1056,mutha fucker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong
1057,muthafecker,motherfucker,,,sexual anatomy / sexual acts,,,2.8,Severe
1058,muthafeckers,motherfucker,,,sexual anatomy / sexual acts,,,3.0,Severe
1059,muthafucka,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
1060,muthafuckers,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3.0,Severe
1061,muthafuckings,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3.0,Severe
1062,muthafuckker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3.0,Severe
1063,muthafuckkers,motherfucker,,,sexual anatomy / sexual acts,,,2.8,Severe
1064,muthafukka,motherfucker,,,sexual anatomy / sexual acts,,,3.0,Severe
1065,mutherfucker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
1066,mutherfuckers,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
1067,n0bhead,knob,,,sexual anatomy / sexual acts,,,1.6,Strong
1068,n0bj0cky,knob,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.4,Strong
1140,nip,nipple,,,sexual anatomy / sexual acts,,,2.0,Strong
1141,nob jockey,knob,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong
1142,nob jokeys,knob,,,sexual anatomy / sexual acts,sexual orientation / gender,,1.8,Strong
1143,nobbyhead,knob,,,sexual anatomy / sexual acts,,,1.4,Mild
1144,nobhead,knob,,,sexual anatomy / sexual acts,,,1.6,Strong
1145,nobheads,knob,,,sexual anatomy / sexual acts,,,1.4,Mild
1146,nobj0key,knob,,,sexual anatomy / sexual acts,sexual orientation / gender,,1.8,Strong
1147,nobjockies,knob,,,sexual anatomy / sexual acts,sexual orientation / gender,,1.8,Strong
1148,nobjocky,knob,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.4,Strong
1149,nobjokey,knob,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.0,Strong
1150,nobjokeys,knob,,,sexual orientation / gender,,,1.8,Strong
1151,nobs,knob,,,sexual anatomy / sexual acts,,,1.2,Mild
1155,nut butter,nut butter,,,bodily fluids / excrement,,,1.4,Mild
1156,nutsack,nutsack,,,sexual anatomy / sexual acts,,,1.8,Strong
1157,nutsacks,nutsack,,,sexual anatomy / sexual acts,,,1.6,Strong
1158,nympho,nymph,,,sexual anatomy / sexual acts,sexual orientation / gender,,1.0,Mild
1160,octopussy,pussy,,,sexual anatomy / sexual acts,,,1.2,Mild
1162,p3n1shead,penis,,,sexual anatomy / sexual acts,,,1.8,Strong
1163,p3nisfcker,penis,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,3.0,Severe
1164,p3nisfcukers,fuck,penis,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
1165,p3nisfvcker,penis,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
1166,p3nisfvckers,penis,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
1167,pack my fudge,fudge packer,,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.0,Strong
1168,packerfudgehead,fudge packer,,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.2,Strong
1169,packing fudge,fudge packer,,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.4,Strong
1170,packing fudgehead,fudge packer,,,bodily fluids / excrement,sexual anatomy / sexual acts,sexual orientation / gender,1.8,Strong
1171,packingfudge,fudge packer,,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.4,Strong
1172,packingfudgefucker,fudge packer,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,bodily fluids / excrement,2.8,Severe
1173,packingfudgefucking,fudge packer,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,bodily fluids / excrement,2.4,Strong
1174,packsomefudgefucker,fudge packer,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,bodily fluids / excrement,2.4,Strong
1176,palm jockey,palm jockey,,,sexual anatomy / sexual acts,,,1.2,Mild
1178,pecker,pecker,,,sexual anatomy / sexual acts,,,1.4,Mild
1179,peckerhead,pecker,,,sexual anatomy / sexual acts,,,1.6,Strong
1180,pedo,pedophile,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
1181,pedobear,pedophile,,,sexual orientation / gender,,,2.0,Strong
1183,pedophl,pedophile,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
1185,pedoz,pedophile,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong
1186,peen,penis,,,sexual anatomy / sexual acts,,,1.0,Mild
1187,peener,penis,,,sexual anatomy / sexual acts,,,1.0,Mild
1188,penisfcker,penis,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,3.0,Severe
1189,penisfuccer,penis,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
1190,penisfucker,fuck,penis,,sexual anatomy / sexual acts,,,3.0,Severe
1191,penisfuckers,fuck,penis,,sexual anatomy / sexual acts,sexual orientation / gender,,3.0,Severe
1192,penisfvcker,penis,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,3.0,Severe
1193,penisfvckers,penis,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
1194,penishead,penis,,,sexual anatomy / sexual acts,,,1.4,Mild
1195,peter,peter puffer,,,sexual anatomy / sexual acts,,,1.0,Mild
1196,peter puffer,peter puffer,,,sexual orientation / gender,sexual anatomy / sexual acts,,1.8,Strong
1197,ph@ggots,faggot,,,sexual orientation / gender,,,2.8,Severe
1198,phaggot,faggot,,,sexual orientation / gender,,,2.8,Severe
1199,phaggots,faggot,,,sexual orientation / gender,,,3.0,Severe
1200,phagot,faggot,,,sexual orientation / gender,,,3.0,Severe
1201,phags,faggot,,,sexual orientation / gender,,,3.0,Severe
1202,phuc,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
1203,phucc,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
1204,phuccer,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
1205,phucchead,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong
1206,phuccing,fuck,,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong
1207,phuck,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
1208,phuck3r,fuck,,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong
1209,phucked,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
1210,phucker,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
1211,phuckin,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
1212,phucking,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong
1213,phuckings,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong
1214,phucks,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong
1215,phucup,fuck,,,sexual anatomy / sexual acts,,,1.8,Strong
1216,phuk,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong
1217,phuked,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
1218,phukeds,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
1219,phukhead,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong
1220,phuking,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
1221,phukings,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
1222,phukk,fuck,,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong
1223,phukked,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong
1224,phukkeds,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong
1225,phukker,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
1226,Phukking,fuck,,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong
1227,phuks,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
1228,phukshit,fuck,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.2,Strong
1229,phuku,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
1230,phukup,fuck,,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong
1231,phuq,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
1232,phuqs,fuck,,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong
1233,phvckings,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
1234,pig fucker,fuck,pig,,sexual anatomy / sexual acts,animal references,,2.8,Severe
1235,pigfucker,fuck,pig,,sexual anatomy / sexual acts,animal references,,2.6,Severe
1236,pigfuckers,fuck,pig,,sexual anatomy / sexual acts,animal references,,3.0,Severe
1237,pigfucking,fuck,pig,,sexual anatomy / sexual acts,animal references,,2.6,Severe
1238,pigfukker,fuck,pig,,sexual anatomy / sexual acts,animal references,,2.8,Severe
1239,piggyfuck,fuck,pig,,sexual anatomy / sexual acts,animal references,,3.0,Severe
1240,pigshit,shit,pig,,bodily fluids / excrement,animal references,,1.4,Mild
1241,pillow biter,pillow biter,,,sexual anatomy / sexual acts,,,2.4,Strong
1242,pillow-biter,pillow biter,,,sexual orientation / gender,,,1.6,Strong
1243,piss face,piss,,,bodily fluids / excrement,,,1.4,Mild
1244,piss off fuckhead,fuck,,,sexual anatomy / sexual acts,bodily fluids / excrement,,3.0,Severe
1245,piss shit,piss,shit,,bodily fluids / excrement,,,1.4,Mild
1246,pissoff,piss,,,bodily fluids / excrement,,,1.2,Mild
1247,pissoffs,piss,,,bodily fluids / excrement,other / general insult,,1.4,Mild
1248,pole licker,pole licker,,,sexual anatomy / sexual acts,,,2.2,Strong
1249,pole smoker,pole smoker,,,sexual anatomy / sexual acts,,,2.0,Strong
1250,pole sucker,pole sucker,,,sexual anatomy / sexual acts,,,1.8,Strong
1251,polesmoker,polesmoker,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong
1253,prick,prick,,,sexual anatomy / sexual acts,,,1.0,Mild
1254,prick-face,prick,,,sexual anatomy / sexual acts,,,1.2,Mild
1255,prick-gobbler,prick,,,sexual anatomy / sexual acts,,,2.2,Strong
1256,prick-head,prick,,,sexual anatomy / sexual acts,,,1.8,Strong
1257,pricks,prick,,,sexual anatomy / sexual acts,,,1.0,Mild
1258,pu$sy,pussy,,,sexual anatomy / sexual acts,,,1.6,Strong
1259,pu55y,pussy,,,sexual anatomy / sexual acts,,,1.6,Strong
1260,pull the pud,pull the pud,,,sexual anatomy / sexual acts,,,1.2,Mild
1261,punani,punani,,,sexual anatomy / sexual acts,,,1.8,Strong
1262,punk ass mofoes,motherfucker,ass,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
1264,puss,pussy,,,sexual anatomy / sexual acts,,,1.4,Mild
1265,pusses,pussy,,,sexual anatomy / sexual acts,,,1.4,Mild
1266,pussie,pussy,,,sexual anatomy / sexual acts,,,2.0,Strong
1267,pussies,pussy,,,sexual anatomy / sexual acts,sexual orientation / gender,,1.0,Mild
1268,pussless,pussy,,,sexual anatomy / sexual acts,,,2.0,Strong
